,time
0,0.0
1,0.10000064935908258
2,0.20000129871816516
3,0.3000019480772477
4,0.4000025974363303
5,0.5000032467954129
6,0.6000038961544955
7,0.700004545513578
8,0.8000051948726606
9,0.9000058442317432
10,1.0000064935908257
11,1.1000071429499083
12,1.200007792308991
13,1.3000084416680735
14,1.400009091027156
15,1.5000097403862387
16,1.6000103897453213
17,1.7000110391044039
18,1.8000116884634865
19,1.900012337822569
20,2.0000129871816514
21,2.100013636540734
22,2.2000142858998166
23,2.300014935258899
24,2.400015584617982
25,2.5000162339770644
26,2.600016883336147
27,2.7000175326952296
28,2.800018182054312
29,2.900018831413395
30,3.0000194807724774
31,3.10002013013156
32,3.2000207794906426
33,3.300021428849725
34,3.4000220782088078
35,3.5000227275678903
36,3.600023376926973
37,3.7000240262860555
38,3.800024675645138
39,3.9000253250042207
40,4.000025974363303
41,4.1000266237223855
42,4.200027273081468
43,4.300027922440551
44,4.400028571799633
45,4.500029221158716
46,4.600029870517798
47,4.700030519876881
48,4.800031169235964
49,4.900031818595046
50,5.000032467954129
51,5.100033117313211
52,5.200033766672294
53,5.300034416031377
54,5.400035065390459
55,5.500035714749542
56,5.600036364108624
57,5.700037013467707
58,5.80003766282679
59,5.900038312185872
60,6.000038961544955
61,6.100039610904037
62,6.20004026026312
63,6.3000409096222025
64,6.400041558981285
65,6.500042208340368
66,6.60004285769945
67,6.700043507058533
68,6.8000441564176155
69,6.900044805776698
70,7.000045455135781
71,7.100046104494863
72,7.200046753853946
73,7.3000474032130285
74,7.400048052572111
75,7.500048701931194
76,7.600049351290276
77,7.700050000649359
78,7.800050650008441
79,7.900051299367524
80,8.000051948726606
81,8.10005259808569
82,8.200053247444771
83,8.300053896803854
84,8.400054546162936
85,8.50005519552202
86,8.600055844881101
87,8.700056494240185
88,8.800057143599266
89,8.90005779295835
90,9.000058442317432
91,9.100059091676515
92,9.200059741035597
93,9.30006039039468
94,9.400061039753762
95,9.500061689112846
96,9.600062338471927
97,9.70006298783101
98,9.800063637190092
99,9.900064286549176
100,10.000064935908258
101,10.100065585267341
102,10.200066234626423
103,10.300066883985506
104,10.400067533344588
105,10.500068182703671
106,10.600068832062753
107,10.700069481421837
108,10.800070130780918
109,10.900070780140002
110,11.000071429499084
111,11.100072078858167
112,11.200072728217249
113,11.300073377576332
114,11.400074026935414
115,11.500074676294497
116,11.60007532565358
117,11.700075975012663
118,11.800076624371744
119,11.900077273730828
120,12.00007792308991
121,12.100078572448993
122,12.200079221808075
123,12.300079871167158
124,12.40008052052624
125,12.500081169885323
126,12.600081819244405
127,12.700082468603489
128,12.80008311796257
129,12.900083767321652
130,13.000084416680735
131,13.100085066039817
132,13.2000857153989
133,13.300086364757982
134,13.400087014117066
135,13.500087663476148
136,13.600088312835231
137,13.700088962194313
138,13.800089611553396
139,13.900090260912478
140,14.000090910271561
141,14.100091559630643
142,14.200092208989727
143,14.300092858348808
144,14.400093507707892
145,14.500094157066973
146,14.600094806426057
147,14.700095455785139
148,14.800096105144222
149,14.900096754503304
