,current
0,-0.006313419925314077
1,-0.0003193648905291319
2,0.014664097154551399
3,0.005091361569486119
4,-0.013297382778848487
5,-0.003956930986967303
6,0.012159224203171351
7,0.0027975145060828532
8,0.0027849371553182187
9,0.011020990582858433
10,0.0038070940306020673
11,0.0007633001391020865
12,-0.01506938816610442
13,0.0006867757668894648
14,-0.0018746261057447163
15,-0.007438217390324155
16,-0.01406933207339747
17,-0.0007506999994154985
18,0.022305260798647204
19,0.016103227015596057
20,0.020328184068457617
21,0.0007902337904582534
22,-0.0012698639914049312
23,0.004856506233622767
24,0.004655974830835576
25,-0.006818739743482314
26,0.0002049451845538768
27,0.00860442841158796
28,-0.005692849133883997
29,0.0029061487280527517
30,0.0021950037946383534
31,-0.004623854128048166
32,-0.01075942002174302
33,-0.00581016037463732
34,-0.008781216971892181
35,0.007510114341045479
36,5.875499748811158e-05
37,-0.026136221211306453
38,0.007314909120097914
39,-0.008863964862174686
40,-0.011145142580627898
41,-0.019203177636753766
42,0.0097097751726514
43,-0.015418098150584045
44,-0.0033074430564570337
45,0.007993303028691586
46,8.360014821437686e-05
47,0.011529808357459786
48,0.011823136139487128
49,-0.003771848408166926
50,-0.0006461325370794162
51,-0.014717579383523013
52,0.0010134471238514326
53,0.006227235313613622
54,-0.0012832836833032116
55,-0.008204588347051983
56,-0.008107654264959229
57,-0.0026032879943555225
58,0.004407900166851975
59,-0.004062398001071129
60,-0.0267005309218734
61,0.012069558224397148
62,-0.0007317872052547169
63,-0.01213844434728685
64,-9.100849697876804e-05
65,-0.006821786609579706
66,-0.016954472814112623
67,-0.01285685239083097
68,0.008422812630550995
69,-0.0011970334226160924
70,0.022911301471173626
71,0.0003934131805170977
72,-0.010195820795756375
73,-0.009198205453411842
74,-0.0026582377736009684
75,0.0006877992089574611
76,0.007064599114695501
77,0.010345399113109936
78,-0.0008563157364638135
79,0.004026262785266891
80,0.006819049356627357
81,-0.009159696317907114
82,-0.012052603202742576
83,0.00043064775480709295
84,0.0028442215054419145
85,-0.0005607025289873064
86,0.005156316337802986
87,-0.010055199373718954
88,-0.0030190760011131667
89,-0.011160406163905833
90,-0.004274864358331234
91,-0.016014157452543743
92,7.438967423231233e-06
93,-0.003760873090623185
94,-0.007340525598893972
95,-0.014764709890704813
96,0.004687175024919395
97,-0.006623205849392239
98,-0.00639830988969741
99,0.013398086106765019
100,0.003387446767798508
101,-0.0013660589247437216
102,-0.001995031018361137
103,0.0016732030520415582
104,0.010681989936970778
105,-0.004286474659694278
106,0.018827547136712343
107,0.0008453732308750323
