,time
0,0.0
1,0.1000011930896249
2,0.2000023861792498
3,0.3000035792688747
4,0.4000047723584996
5,0.5000059654481246
6,0.6000071585377494
7,0.7000083516273743
8,0.8000095447169993
9,0.9000107378066242
10,1.0000119308962492
11,1.100013123985874
12,1.2000143170754989
13,1.3000155101651238
14,1.4000167032547486
15,1.5000178963443735
16,1.6000190894339985
17,1.7000202825236235
18,1.8000214756132484
19,1.9000226687028732
20,2.0000238617924984
21,2.100025054882123
22,2.200026247971748
23,2.300027441061373
24,2.4000286341509978
25,2.5000298272406227
26,2.6000310203302477
27,2.7000322134198727
28,2.800033406509497
29,2.900034599599122
30,3.000035792688747
31,3.100036985778372
32,3.200038178867997
33,3.300039371957622
34,3.400040565047247
35,3.500041758136872
36,3.600042951226497
37,3.7000441443161214
38,3.8000453374057463
39,3.9000465304953713
40,4.000047723584997
41,4.100048916674621
42,4.200050109764246
43,4.300051302853871
44,4.400052495943496
45,4.500053689033121
46,4.600054882122746
47,4.700056075212371
48,4.8000572683019955
49,4.9000584613916205
50,5.0000596544812455
51,5.10006084757087
52,5.200062040660495
53,5.30006323375012
54,5.400064426839745
55,5.50006561992937
56,5.600066813018994
57,5.700068006108619
58,5.800069199198244
59,5.900070392287869
60,6.000071585377494
61,6.100072778467119
62,6.200073971556744
63,6.300075164646369
64,6.400076357735994
65,6.500077550825619
66,6.600078743915244
67,6.700079937004869
68,6.800081130094494
69,6.900082323184119
70,7.000083516273744
71,7.100084709363369
72,7.200085902452994
73,7.300087095542618
74,7.400088288632243
75,7.500089481721868
76,7.600090674811493
77,7.700091867901118
78,7.800093060990743
79,7.900094254080368
80,8.000095447169993
81,8.100096640259617
82,8.200097833349242
83,8.300099026438867
84,8.400100219528492
85,8.500101412618116
86,8.600102605707741
87,8.700103798797366
88,8.800104991886991
89,8.900106184976616
90,9.000107378066241
91,9.100108571155866
92,9.200109764245491
93,9.300110957335116
94,9.400112150424741
95,9.500113343514366
96,9.600114536603991
97,9.700115729693616
98,9.800116922783241
99,9.900118115872866
100,10.000119308962491
101,10.100120502052116
102,10.20012169514174
103,10.300122888231366
104,10.40012408132099
105,10.500125274410616
106,10.60012646750024
107,10.700127660589866
108,10.80012885367949
109,10.900130046769116
110,11.00013123985874
111,11.100132432948365
112,11.200133626037989
113,11.300134819127614
114,11.400136012217239
115,11.500137205306864
116,11.600138398396489
117,11.700139591486113
118,11.800140784575738
119,11.900141977665363
120,12.000143170754988
121,12.100144363844613
122,12.200145556934238
123,12.300146750023863
124,12.400147943113488
125,12.500149136203113
126,12.600150329292738
127,12.700151522382363
128,12.800152715471988
129,12.900153908561613
130,13.000155101651238
131,13.100156294740863
132,13.200157487830488
133,13.300158680920113
